shipment_id,supplier_name,country,city,warehouse_id,product,order_quantity,unit_cost,total_cost,lead_time_days,delivery_status,order_date
8048,Nordic  Logistics,Polad,Warsaw,WH-A ,Steel Parts,,106.94,106.94,unknown,Delivered,2024-05-03
5640,Iberia Parts,belgium,brussels,WH-A,Packaging,,45.68,45.68,, delivered,2024-04-12
7960,Iberia Parts,GERMANY,berlin,WH-A,Steel Parts,,,0.0,-12,CANCELLED,2024-02-08
4174, EuroSupply SA,ITALY,MILAN,wh-b,steel parts ,164,-32.36,-5307.04,55,Delayed,"March 9, 2023"
6437, EuroSupply SA,Spain,Barcelona,wh-b,electronics ,465,122.36,56897.4,29,Delayed,17/09/2022
5942,GlobalTrade GmbH,Netherlads,rotterdam,WH-A,Packaging,255,,0.0,,Delayed,26/04/2024
6991,Nordic  Logistics,Netherlads,rotterdam,WH-D,PLASTIC COMPONENTS,586,,0.0,28,Delayed,07/10/2022
4655, EuroSupply SA,Spian,Madrid,WH_C,electronics ,365,,0.0,-2,In Transit,"March 12, 2023"
7661, EuroSupply SA,Spain,Barcelona,wh-b,Steel Parts,327,,0.0,-6,Delivered,2023-12-12
7346,Iberia Parts,netherlands,AMSTERDAM,WH-A ,Electronics,182,,0.0,-7,In Transit,15/12/2022
8722,MedTech SRL ,ITALY,Milan,WH-A,PLASTIC COMPONENTS,,,0.0,-16,Delivered,23/03/2022
8338,GlobalTrade GmbH,Netherlads,amsterdam,WH-A ,Electronics,324,,0.0,-10, delivered,"March 9, 2023"
8045,Nordic  Logistics,SPAIN,BARCELONA,WH-A,Packaging,,,0.0,,In Transit,"March 21, 2023"
4511,MedTech SRL ,Italy,turin,WH-A,electronics ,,,0.0,,CANCELLED,2022-12-30
6705,GlobalTrade GmbH,SPAIN,valencia,WH-D,Electronics,,157.27,157.27,,Delayed,2022-07-27
6403, EuroSupply SA,germany,MUNICH,wh-b,electronics ,370,,0.0,-13,IN TRANSIT,21/01/2024
4522, EuroSupply SA,Germany,Munich,WH-D,Electronics,314,-56.55,-17756.7,52,Delayed,2023-11-17
5972,Iberia Parts,spain,MADRID,WH-A ,steel parts ,N/A,,0.0,-19,IN TRANSIT,2024-06-02
8024, EuroSupply SA,spain,Barcelona,WH-A,Electronics,,,0.0,unknown, delivered,24/11/2022
6868, EuroSupply SA,Germnay,Munich,wh-b,Steel Parts,,62.99,62.99,30,In Transit,"March 8, 2023"
6466,Nordic  Logistics,ITALY,Rome,wh-b,Packaging,,,0.0,,CANCELLED,"March 3, 2023"
7831,GlobalTrade GmbH,poland,WARSAW,wh-b,Electronics,,,0.0,-10,Delivered,27/08/2023
7549,Iberia Parts,Italy,Rome,wh-b,Electronics,,13.88,13.88,31,Delivered,31/03/2023
7081,Nordic  Logistics,Spian,MADRID,WH-D,Electronics,N/A,,0.0,unknown,Delayed,28/02/2023
8324,Nordic  Logistics,SPAIN,valencia,WH_C,Steel Parts,N/A,-42.64,-42.64,-15,In Transit,2024-03-13
8820,Nordic  Logistics,Belguim,Brussels,WH-A ,Electronics,,,0.0,,IN TRANSIT,14/04/2022
5807,Nordic  Logistics,Italy,MILAN,WH_C,electronics ,,,0.0,,Delivered,28/07/2022
8677,Iberia Parts,ITALY,milan,wh-b,electronics ,N/A,74.94,74.94,-1,Delivered,20/01/2023
7755,MedTech SRL ,Netherlands,amsterdam,WH-D,electronics ,644,,0.0,,Delayed,"March 22, 2023"
5352,Iberia Parts,poland,Warsaw,WH-A,Steel Parts,63,,0.0,,Delayed,2022-03-21
4916,Iberia Parts,germany,Munich,WH-A,Packaging,,98.19,98.19,59,Delayed,2024-04-14
6012,Nordic  Logistics,Polad,Warsaw,WH-A ,steel parts ,290,,0.0,55,Delivered,"March 16, 2023"
6227,MedTech SRL ,Itlay,turin,WH-A,Steel Parts,,,0.0,-13,In Transit,15/05/2022
8280,GlobalTrade GmbH,FRANCE,PARIS,WH-A,Packaging,,,0.0,17,Delayed,2023-03-06
5922,GlobalTrade GmbH,BELGIUM,BRUSSELS,WH-A ,Electronics,,-14.97,-14.97,30,Delayed,"March 12, 2023"
5726,Iberia Parts,France,MARSEILLE,WH_C,Electronics,,,0.0,unknown,Delivered,"March 23, 2023"
4533, EuroSupply SA,Germnay,hamburg,wh-b,Packaging,,,0.0,,IN TRANSIT,17/01/2022
6754,Nordic  Logistics,Belguim,brussels,wh-b,electronics ,,,0.0,unknown,CANCELLED,13/06/2023
6236, EuroSupply SA,Germnay,hamburg,WH-A,Packaging,550,14.98,8239.0,28,Delivered,"March 22, 2023"
8146, EuroSupply SA,Spian,madrid,wh-b,Steel Parts,374,170.45,63748.299999999996,-2,Delivered,"March 26, 2023"
7645,MedTech SRL ,Itlay,milan,WH_C,Steel Parts,,,0.0,unknown,Delivered,2022-09-19
8431, EuroSupply SA,Netherlads,rotterdam,WH-D,steel parts ,353,,0.0,unknown,In Transit,20/02/2023
4429,GlobalTrade GmbH,Frnace,Paris,WH_C,Electronics,,-78.6,-78.6,unknown,Delayed,"March 12, 2023"
6352,Iberia Parts,Belguim,Brussels,wh-b,Electronics,192,,0.0,26,IN TRANSIT,2023-03-16
5426,Iberia Parts,FRANCE,PARIS,WH-A,Steel Parts,306,,0.0,-2,In Transit,01/06/2022
8683,Iberia Parts,france,lyon,WH-A ,PLASTIC COMPONENTS,617,-57.52,-35489.840000000004,26,Delivered,"March 13, 2023"
6701,Nordic  Logistics,belgium,antwerp,WH-A,Steel Parts,N/A,,0.0,, delivered,"March 10, 2023"
8617,Iberia Parts,spain,valencia,WH-D,electronics ,N/A,5.62,5.62,, delivered,2023-02-04
8988, EuroSupply SA,SPAIN,BARCELONA,WH-D,Steel Parts,,,0.0,53,Delivered,2022-09-01
5370,Iberia Parts,Itlay,ROME,WH-A,Steel Parts,,,0.0,31, delivered,2023-10-11
7662,Iberia Parts,Italy,Rome,wh-b,electronics ,130,-88.83,-11547.9,-11,Delivered,"March 13, 2023"
4672,Iberia Parts,France,paris,WH_C,electronics ,N/A,,0.0,,Delivered,2023-05-23
5499,Nordic  Logistics,spain,MADRID,WH-D,Electronics,246,-18.94,-4659.240000000001,unknown,CANCELLED,2023-10-28
7545,GlobalTrade GmbH,Germnay,Munich,WH-A,Packaging,143,,0.0,39,IN TRANSIT,21/02/2023
5279,GlobalTrade GmbH,italy,milan,wh-b,Electronics,,87.27,87.27,-5,Delivered,15/02/2022
6541,Iberia Parts,Spian,madrid,WH-A ,steel parts ,,-39.75,-39.75,43, delivered,2024-05-03
8265,Iberia Parts,BELGIUM,brussels,WH-D,Packaging,480,,0.0,-25,Delayed,"March 24, 2023"
8823, EuroSupply SA,Germnay,berlin,WH-A ,steel parts ,174,-31.29,-5444.46,29,IN TRANSIT,2023-05-18
8022,Nordic  Logistics,france,MARSEILLE,WH-A,PLASTIC COMPONENTS,,113.01,113.01,14,IN TRANSIT,"March 8, 2023"
5175,Nordic  Logistics,france,lyon,wh-b,Packaging,,,0.0,unknown, delivered,2023-07-08
4949, EuroSupply SA,spain,madrid,WH-A ,Packaging,N/A,,0.0,21,Delayed,2022-12-27
7974,GlobalTrade GmbH,Spian,BARCELONA,WH_C,steel parts ,,,0.0,unknown,CANCELLED,20/02/2024
6083,Nordic  Logistics,Germany,berlin,WH-A,electronics ,,83.44,83.44,,Delivered,2023-12-31
5038,MedTech SRL ,Germnay,berlin,WH-A ,PLASTIC COMPONENTS,N/A,58.38,58.38,18, delivered,01/05/2023
7748, EuroSupply SA,Spain,BARCELONA,wh-b,Steel Parts,N/A,,0.0,-10,In Transit,2022-12-31
4894,Iberia Parts,ITALY,MILAN,WH-A ,electronics ,,-81.74,-81.74,unknown,CANCELLED,14/09/2022
7724,GlobalTrade GmbH,belgium,brussels,WH_C,Steel Parts,567,85.79,48642.93,17,In Transit,20/01/2022
6644,Nordic  Logistics,France,PARIS,WH_C,PLASTIC COMPONENTS,N/A,-81.39,-81.39,-11,CANCELLED,2022-02-06
5727, EuroSupply SA,Italy,MILAN,WH_C,Electronics,,,0.0,-20,Delayed,"March 1, 2023"
5222,MedTech SRL ,BELGIUM,brussels,WH-D,steel parts ,591,-36.4,-21512.399999999998,unknown,Delayed,13/07/2023
8725,Nordic  Logistics,Poland,WARSAW,WH-D,steel parts ,526,155.51,81798.26,-6,Delivered,"March 15, 2023"
6738,MedTech SRL ,Polad,Warsaw,wh-b,Packaging,,,0.0,-4,Delayed,23/01/2023
4460,Nordic  Logistics,SPAIN,Madrid,WH-D,Electronics,,-43.55,-43.55,-8,Delayed,06/02/2022
5036,Nordic  Logistics,france,paris,WH-A,Packaging,N/A,-63.36,-63.36,-11, delivered,09/09/2022
6653,GlobalTrade GmbH,BELGIUM,BRUSSELS,WH-A ,Packaging,636,,0.0,-11,Delayed,2023-10-05
8199,Nordic  Logistics,poland,krakow,WH-A,Packaging,329,,0.0,unknown,IN TRANSIT,"March 21, 2023"
6898,MedTech SRL ,Spian,MADRID,WH-D,Packaging,316,,0.0,, delivered,2024-01-14
7683,Nordic  Logistics,Netherlads,rotterdam,WH-A,PLASTIC COMPONENTS,N/A,,0.0,-1,IN TRANSIT,2024-05-29
8042,GlobalTrade GmbH,Poland,Warsaw,wh-b,Electronics,,,0.0,-9,Delivered,03/02/2023
6638, EuroSupply SA,Germnay,hamburg,wh-b,electronics ,,32.39,32.39,unknown,Delayed,"March 21, 2023"
8497,GlobalTrade GmbH,ITALY,Rome,WH_C,steel parts ,N/A,,0.0,unknown,In Transit,09/10/2022
5473, EuroSupply SA,France,paris,WH_C,Steel Parts,,-9.75,-9.75,,CANCELLED,2023-06-15
4189,MedTech SRL ,Frnace,PARIS,WH-D,Steel Parts,,,0.0,,IN TRANSIT,2022-09-11
6506,MedTech SRL ,Frnace,MARSEILLE,WH-D,electronics ,N/A,-97.38,-97.38,,CANCELLED,28/08/2022
7509, EuroSupply SA,Itlay,MILAN,wh-b,electronics ,N/A,,0.0,,Delayed,2022-01-31
7140,MedTech SRL ,Spain,valencia,WH_C,electronics ,,-31.07,-31.07,unknown, delivered,"March 2, 2023"
8335,Iberia Parts,italy,ROME,wh-b,Packaging,296,,0.0,-7,In Transit,07/01/2024
6138,Nordic  Logistics,poland,Warsaw,WH-D,PLASTIC COMPONENTS,265,-44.96,-11914.4,-3,In Transit,"March 14, 2023"
5399,GlobalTrade GmbH,FRANCE,Paris,wh-b,electronics ,676,-48.88,-33042.880000000005,,Delayed,"March 16, 2023"
5048,Iberia Parts,Spain,Barcelona,WH_C,Packaging,,-77.96,-77.96,,CANCELLED,2023-05-16
6292,Nordic  Logistics,Germany,Munich,wh-b,electronics ,63,-65.46,-4123.98,, delivered,"March 22, 2023"
6252,Iberia Parts,france,Paris,WH-D,steel parts ,,,0.0,16,IN TRANSIT,2022-06-08
7670,Iberia Parts,FRANCE,lyon,WH-A,Electronics,39,,0.0,unknown,IN TRANSIT,2024-01-21
8362,Iberia Parts,Spain,valencia,WH_C,electronics ,,,0.0,7, delivered,21/03/2022
4376,GlobalTrade GmbH,SPAIN,madrid,WH-D,Steel Parts,39,,0.0,-17,In Transit,2022-09-03
8563,Nordic  Logistics,Itlay,Milan,WH-A ,steel parts ,114,-4.7,-535.8000000000001,,In Transit,2024-04-08
5276,Nordic  Logistics,Belguim,Brussels,WH-D,Electronics,,,0.0,-1,Delivered,2023-11-30
4892, EuroSupply SA,Germnay,MUNICH,WH-A,steel parts ,,,0.0,, delivered,2022-07-16
7489,Nordic  Logistics,SPAIN,MADRID,WH-D,Steel Parts,,,0.0,-20,IN TRANSIT,2022-04-13
8480,GlobalTrade GmbH,Itlay,Rome,WH-A,electronics ,164,,0.0,,In Transit,23/04/2024
5453,Nordic  Logistics,france,MARSEILLE,WH_C,electronics ,,-34.0,-34.0,57,In Transit,"March 8, 2023"
6965,MedTech SRL ,belgium,BRUSSELS,WH_C,steel parts ,154,,0.0,,Delayed,2022-05-12
6419,Iberia Parts,Germany,hamburg,WH-A,electronics ,,,0.0,unknown,IN TRANSIT,23/07/2022
6426,MedTech SRL ,SPAIN,BARCELONA,WH-D,Electronics,,-58.63,-58.63,,Delayed,"March 13, 2023"
5786,Iberia Parts,Poland,WARSAW,WH-D,steel parts ,16,181.48,2903.68,,IN TRANSIT,"March 4, 2023"
8918,MedTech SRL ,Belguim,BRUSSELS,WH-D,Packaging,,95.34,95.34,-11,IN TRANSIT,2022-05-23
5664, EuroSupply SA,BELGIUM,brussels,WH-A ,Packaging,79,-94.87,-7494.7300000000005,33,CANCELLED,2024-05-30
8422,Iberia Parts,BELGIUM,BRUSSELS,wh-b,Electronics,N/A,,0.0,59, delivered,"March 14, 2023"
7922, EuroSupply SA,Netherlands,AMSTERDAM,WH-A ,steel parts ,,,0.0,-18, delivered,"March 28, 2023"
8113,MedTech SRL ,germany,hamburg,wh-b,PLASTIC COMPONENTS,537,-43.14,-23166.18,4,IN TRANSIT,21/09/2023
8578, EuroSupply SA,spain,Barcelona,WH-A ,Steel Parts,,93.61,93.61,unknown,Delayed,"March 2, 2023"
8461,Nordic  Logistics,germany,Munich,WH-D,Packaging,,-87.55,-87.55,30,CANCELLED,2022-07-01
5295,GlobalTrade GmbH,Belgium,BRUSSELS,WH-A,Steel Parts,N/A,,0.0,unknown,CANCELLED,22/03/2022
4238, EuroSupply SA,Spain,valencia,WH-A ,Electronics,441,,0.0,47,In Transit,2023-06-19
5442,Nordic  Logistics,france,Lyon,WH-A ,Electronics,,-74.82,-74.82,,CANCELLED,2023-11-17
7219,GlobalTrade GmbH,Germany,MUNICH,WH_C,Packaging,,,0.0,-20,IN TRANSIT,22/03/2023
8431,MedTech SRL ,spain,Barcelona,WH-A,electronics ,,,0.0,,IN TRANSIT,"March 16, 2023"
4317,GlobalTrade GmbH,NETHERLANDS,AMSTERDAM,WH_C,electronics ,,100.4,100.4,,Delivered,"March 14, 2023"
8200, EuroSupply SA,BELGIUM,BRUSSELS,WH-D,electronics ,416,,0.0,,In Transit,"March 5, 2023"
7434,GlobalTrade GmbH,Belgium,brussels,wh-b,PLASTIC COMPONENTS,,-80.91,-80.91,9,Delivered,2023-08-13
8810,Nordic  Logistics,POLAND,WARSAW,WH-D,electronics ,,,0.0,-13,Delayed,2024-02-17
6338,MedTech SRL ,Spain,madrid,WH-D,Packaging,624,,0.0,unknown,Delivered,"March 24, 2023"
6986,MedTech SRL ,Itlay,milan,WH_C,Packaging,,8.13,8.13,,In Transit,"March 4, 2023"
7911,GlobalTrade GmbH,Netherlads,amsterdam,WH-D,PLASTIC COMPONENTS,N/A,,0.0,56, delivered,26/03/2024
7914,Iberia Parts,Germnay,berlin,WH-D,Electronics,141,,0.0,-4, delivered,"March 11, 2023"
6423, EuroSupply SA,italy,Rome,WH_C,Electronics,,-31.42,-31.42,unknown,In Transit,"March 22, 2023"
4903,GlobalTrade GmbH,Belguim,BRUSSELS,wh-b,electronics ,,,0.0,-4, delivered,28/04/2024
8428,Nordic  Logistics,Germany,MUNICH,WH-A,Packaging,,,0.0,-24, delivered,2024-05-11
6305,Nordic  Logistics,SPAIN,Barcelona,WH-D,electronics ,,-56.49,-56.49,12,CANCELLED,"March 12, 2023"
